rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,185750,종근당,KOSPI,1177377134000,"딜라트렌,리피로우",85300.0,81400.0,22.0,23.0,16.0,11,10.0,82.0,4.572098475967175,11.764705882352942,49.21307028297433,C,83720.0,85158.0,88603.11542362583,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",5,3316248800.0,-1173218000.0,2026-01-20 22:30,1,,0
2,071320,지역난방공사,KOSPI,1281766960800,"집단에너지공급 및 전기,증기 생산,판매",110700.0,101844.0,21.0,25.0,16.0,11,7.0,80.0,8.0,0.0,33.325100236873695,B,99805.0,104450.0,114183.18352378506,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",5,5110268900.0,-1998796300.0,2026-01-20 22:30,1,,0
3,103590,일진전기,KOSPI,2989873953000,기타,62700.0,59300.0,25.0,20.0,17.0,8,9.0,79.0,5.422647527910686,19.327731092436974,40.12512397351684,R,59295.0,57516.0,65504.81837179212,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -1}",3,4511446900.0,-4460508200.0,2026-01-20 22:30,1,,0
4,001800,오리온홀딩스,KOSPI,1321818404200,자회사 관리 지주사업 등,21100.0,19220.0,25.0,20.0,13.0,15,5.0,78.0,8.909952606635072,10.084033613445378,48.76953139940385,R,20309.5,20247.2,21458.35129894547,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -5}",5,2288795450.0,88308800.0,2026-01-20 22:30,1,,0
5,030610,교보증권,KOSPI,1171539239080,"유가증권 매매,중개,대리,인수",10280.0,9457.6,20.0,15.0,20.0,15,7.0,77.0,8.0,19.327731092436974,17.729547672548893,B,9611.5,9506.0,10004.470492019514,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",5,3365017520.0,8973770.0,2026-01-20 22:30,1,,0
6,160190,하이젠알앤엠,KOSDAQ,2010808800000,"전동기 및 발전기 (범용모터, 서보모터)",65100.0,59892.0,22.0,15.0,20.0,12,7.0,76.0,8.0,36.134453781512605,21.833705819536117,B,58370.0,56166.0,67118.79504043129,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",4,9268452200.0,23898602900.0,2026-01-20 22:30,1,,0
7,001440,대한전선,KOSPI,5211202035000,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사",27950.0,25714.0,25.0,15.0,20.0,9,7.0,76.0,8.0,38.65546218487395,48.2707022510991,B,24920.0,23999.0,27747.80246329359,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,36561593750.0,5844981050.0,2026-01-20 22:30,1,,0
8,055550,신한지주,KOSPI,39762035094600,금융지주회사,81900.0,75348.0,22.0,25.0,13.0,9,7.0,76.0,8.0,0.0,20.703127162144117,B,78450.0,78260.0,81670.2322679275,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",2,46622660800.0,51761970400.0,2026-01-20 22:30,1,,0
9,131970,두산테스나,KOSDAQ GLOBAL,1018545442600,반도체 테스트,52700.0,48950.0,25.0,20.0,11.0,12,7.0,75.0,7.115749525616698,19.327731092436974,60.33335102869122,R,50335.0,46701.0,54771.749152590535,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_deduction"": -3}",3,1980057500.0,6303668400.0,2026-01-20 22:30,1,,0
10,006400,삼성SDI,KOSPI,26270882780000,"2차전지, 전자재료 제조 판매",326000.0,299920.0,22.0,20.0,13.0,12,7.0,74.0,8.0,10.92436974789916,42.42297881488662,R,282500.0,295740.0,337421.78777285275,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",3,57865237500.0,80118884500.0,2026-01-20 22:30,1,,0
